ID;CD_CEP;NM_LOGRADOURO;ID_BAIRRO
4641;23560900;RUA DONA GISELA;27902
4642;23561000;RUA ANTONIO LOIACONI;27902
4643;23561100;RUA JEAN CASTRONIS;27902
4644;23561200;RUA MANUEL PEIXOTO;27902
4645;23561300;RUA ESTEVAO CHOPINSKI;27784
4646;23561400;RUA PEDRO GOMES;27902
4647;23561500;RUA MONFORTE;27902
4648;23561600;TRAVESSA NICOLAS JANCU;27902
4649;23561700;RUA MANUEL ARAUJO ARAGAO;27784
4650;23570000;AVENIDA SENADOR JOSE ERMIRIO DE MORAES;28147
4651;23570100;RUA ANTONIO PINTO BANDEIRA;28147
4652;23570200;RUA DOM TEODOSIO;28147
4653;23570300;TRAVESSA JORGE MANSUR;28147
4654;23570400;RUA MAESTRO BORTOLUCCI;28166
4655;23570500;TRAVESSA TAOPE;28168
4656;23570600;RUA ELIAS DE SOUZA PINTO;28147
4657;23570700;RUA PASCOAL GOMES DE LIMA;28166
4658;23570800;RUA FREDERICO ESTEBAN JUNIOR;28147
4659;23570900;RUA COMENDADOR ARMANDO PEREIRA;28147
4660;23571000;RUA JOSE CORREA GOMES;28166
4661;23571100;RUA SINO CONTRA-MEAO;28166
4662;23571200;RUA CAPITAO JOSE AGUIRRE CAMARGO;28166
4663;23571300;RUA ALAGOA DA ROCA;28166
4664;23571400;RUA FLOR DA SERRA;28147
4665;23571500;RUA BIRIRICAS;28166
4666;23571600;RUA APONIA;28166
4667;23571700;PRAÇA BENEFICENTE;28166
4668;23571800;RUA ALDO FORLIM;28147
4669;23571900;TRAVESSA OSWALDO ZAMBON FILHO;28166
4670;23572000;TRAVESSA HENRIQUE CLAY;26443
4671;23572100;RUA JOAO BORGES PEREIRA;28147
4672;23572200;RUA JOSE BARBOSA ALMEIDA;28147
4673;23572300;RUA IVAN LINS;28147
4674;23572400;RUA DR FAUZE CALIL ADDE;26443
4675;23572500;RUA DR NELSON SAAD;28166
4676;23580000;RUA BERNARDO FONSECA LOBO;27784
4677;23580100;RUA BOI-PIGUA;26443
4678;23580200;RUA JOAO RIOS;26443
