id;CD_CEP;ID_BAIRRO;NM_LOGRADOURO
9766;3033100;11120;JOSE JOAQUIM MOREDO
9767;3033101;11120;VEREADOR OSWALDO TEIXEIRA DUARTE
9768;3034000;11120;ARAGUAIA
9769;3034010;11120;FELISBERTO DE CARVALHO
9770;3034020;11120;FAUSTINO RIBEIRO LEITE
9771;3034030;11120;MONSENHOR MAXIMIANO LEITE
9772;3034040;11120;PROF. JOSE FELICIANO DE OLIVEIRA
9773;3034050;11120;AZURITA
9774;3034060;11120;PASCOAL RANIERI
9775;3034070;11120;DA PISCINA
9776;3034080;11120;ANTONIO DE ANDRADE
9777;3034090;11120;DIOGO DE LARA
9778;3034100;11120;SAO PEDRO DO TURVO
9779;3034110;11120;RIO VERMELHO
9780;3034120;11120;PEDRO QUARTO MARINI
9781;3034130;11120;ELIAS CHAIBUB
9782;3034140;11120;PONTA DA CRUZ
9783;3034150;11120;ZILDA DE MACEDO
9784;3034160;11120;COMENDADOR NESTOR PEREIRA
9785;3035000;27949;BOM JARDIM
9786;3035005;27949;MIGUEL FRANCELINO
9787;3035010;27949;ITURANA
9788;3035020;27949;CHAMBIVAS
9789;3035030;27949;NOSSA SENHORA DAS OLIVEIRAS
9790;3035040;27949;DR MIGUEL PAULO CAPALBO
9791;3035050;27949;GUARANTA
9792;3035060;27949;INDA
9793;3035070;27949;IMBAUBA
9794;3035080;27949;PIASSAGUERA
9795;3035090;27949;AGUACAI
9796;3035110;27949;MINISTRO FRANCISCO CAMPOS
9797;3035115;27949;MONSENHOR ABREU
9798;3035120;27949;PARDAL
9799;3035130;27949;FREI PACIFICO WAGNER
9800;3035413;27949;DA VILA GUILHERME
9801;3036000;11120;PRESIDENTE CASTELO BRANCO
9802;3040000;8396;CARNEIRO LEAO
9803;3040010;8396;WANDENKOLK
9804;3040020;8396;AZEVEDO JUNIOR
9805;3040030;8396;CAPITAO FAUSTINO DE LIMA
9806;3040040;8396;CLAUDINO PINTO
9807;3040050;8396;ANA TENORIO
9808;3041000;8396;CAETANO PINTO
9809;3041010;8396;PARANA
9810;3041020;8396;PROF. BATISTA DE ANDRADE
9811;3041030;8396;TORQUATO NETO
9812;3041040;8396;MELO BARRETO
9813;3041050;8396;SOBRAL
9814;3041060;8396;MELITA
9815;3041070;8396;FLORA
9816;3041080;8396;DOMINGOS FRANGIONE
9817;3041090;8396;CAMPOS SALES
9818;3041100;8396;ARISTIDES LOBO
9819;3041110;8396;ESCOLA TECNICA DE AVIACAO
9820;3042000;8396;PIRATININGA
9821;3042001;8396;PIRATININGA
9822;3042005;8396;SAO JOSE
9823;3042010;8396;ERNESTO DE CASTRO
9824;3043000;8396;PALMORINO MONACO
9825;3043010;8396;ALEGRIA
9826;3043020;8396;MARTIM BURCHARD
9827;3043030;8396;MAURICIO SALOMAO NAHAS
9828;3043040;8396;PRUDENTE DE MORAIS
9829;3043050;8396;CORONEL MURSA
9830;3043060;8396;BENEMERITO JOSE BRAS
9831;3043070;8396;DOMINGOS PAIVA
9832;3044000;8396;VISCONDE DE PARNAIBA-ATE 1250 LADO PAR
9833;3044002;8396;VISCONDE DE PARNAIBA-DE 2202 AO FIM
9834;3044020;8396;ANDRE VILLANI
9835;3045000;8396;VISCONDE DE PARNAIBA-ATE 1249 LADO IMPAR
9836;3045002;8396;VISCONDE DE PARNAIBA-DE 2203 AO FIM
9837;3045006;7023;SERGIO LAZZARI
9838;3045008;7023;SERGIO LAZZARI
9839;3045010;8396;ANDRE SCOPETTA
9840;3045012;8396;HELOISA
9841;3045014;8396;IAIA
9842;3045016;8396;PALMIRA
9843;3045018;8396;PLACIDINA
9844;3045020;8396;COTONIFICIO MARIANGELA
9845;3046010;8396;DR ALMEIDA LIMA
9846;3047000;8396;VINTE E UM DE ABRIL
9847;3047003;8396;CLARICE
9848;3047005;8396;LAMEIRAO
9849;3047007;8396;VINTE E UM DE ABRIL
9850;3047010;8396;NICOLAU BARRETO
9851;3047020;8396;DR SILVA LEME
9852;3047030;8396;TENENTE ANTONIO JOAO
9853;3047040;8396;MONSENHOR MEIRELLES FREIRE
9854;3050000;8396;GOMES CARDIM
9855;3050003;8396;BARROS
9856;3050005;8396;MENDES
9857;3050010;8396;CAVALHEIRO
9858;3050020;8396;JOAQUIM NABUCO
9859;3050023;8396;ISRAEL
9860;3050025;8396;ANTONIO TEIXEIRA DE ARAUJO
9861;3050030;8396;PAULO AFONSO
9862;3050040;8396;URUGUAIANA
9863;3050050;8396;BRIGADEIRO MACHADO
9864;3051000;8396;DO HIPODROMO
9865;3051003;8396;BELINO IASI
9866;3051005;8396;MARQUES
9867;3051010;8396;ANTONIO ROLIM JUNIOR
9868;3051040;7023;COTONIFICIO ADELINA
9869;3052000;8396;DR COSTA VALENTE
9870;3052010;8396;JOSE MONTEIRO
9871;3052020;8396;JOSE DE ALENCAR
9872;3052030;8396;COIMBRA
9873;3052040;8396;BELO HORIZONTE
9874;3052050;8396;MARAJO
9875;3052060;8396;DR JOAO ALVES DE LIMA
9876;3052065;8396;GORDINHO
9877;3052070;8396;FIRMINIANO PINTO
9878;3053000;8396;BRESSER
9879;3053003;8396;MARTINS
9880;3053005;8396;BRESSER
9881;3053010;8396;INACIO DE ARAUJO
9882;3053020;8396;VIEIRA MARTINS
9883;3053025;8396;SILVERIO JORDAO
9884;3053040;8396;GIUSEPE CESARI
9885;3054000;7023;CESARIO ALVIM
9886;3054010;7023;LOPES COUTINHO
9887;3054020;7023;CORONEL ALBINO BAIRAO
9888;3054030;7023;SEBASTIAO DE CASTRO
9889;3054040;7023;CORONEL ANTONIO MARCELO
9890;3054050;7023;MAJOR OTAVIANO
9891;3055000;7023;SAO LEOPOLDO
9892;3055010;7023;TEIXEIRA DE FREITAS
9893;3055020;7023;SALDANHA MARINHO
9894;3055030;7023;DR UBALDINO DO AMARAL
9895;3057000;7023;CAJURU
9896;3057010;7023;BELEM
9897;3057020;7023;VIRGINIA MARANI COMPRI
9898;3057030;7023;SARGENTO CAPISTRANO
9899;3057040;7023;SAO JOSE DO BELEM
9900;3057045;7023;GUADALAJARA
9901;3057050;7023;MARTIM AFONSO
9902;3057060;7023;MARIO CASSIA
9903;3057070;7023;SILVA JARDIM
9904;3058000;7023;CONSELHEIRO COTEGIPE
9905;3058010;7023;PASSOS
9906;3058020;7023;HEITOR MAURANO
9907;3058030;7023;CANDELARIA ROMANO
9908;3058040;7023;IRMA CAROLINA
9909;3058050;7023;PEDRO JOSE PERES
9910;3058060;7023;ALVARO RAMOS
9911;3058070;7023;CONCEICAO ALES
9912;3058080;7023;LAERCIO LUIS MAGRI
9913;3059000;7023;JULIO DE CASTILHO
9914;3059003;7023;RUBENS IGNACIO PEREIRA
9915;3059005;7023;JULIO DE CASTILHO
9916;3059010;7023;SIQUEIRA BUENO
9917;3059020;7023;ALEXANDRE DA CONCEICAO
9918;3059023;7023;FERNANDES VIEIRA
9919;3059025;7023;PASQUAL SOLDA
9920;3059030;7023;DR CLEMENTINO
9921;3059033;7023;LEONE SPEDO
9922;3059035;7023;JOAO PAULETTO
9923;3059040;7023;DR JOAO FERRAZ
9924;3059050;7023;PROF. RODOLFO SANTIAGO
9925;3060000;18233;PIMENTA BUENO
9926;3060003;18233;BRASILINA TANI
9927;3060005;18233;VICENTE PICOLLOTTO
9928;3060007;18233;VITORIO COMPRI
9929;3060010;18233;REDENCAO
9930;3060015;18233;WLADIMIR TAGNOLI
9931;3060020;18233;MARQUES DE ABRANTES
9932;3060023;18233;ANTONIO TEIXEIRA
9933;3060025;18233;ATILIO AUGUSTO
9934;3060027;18233;PEDRO VICENTE MARIO GALLO
9935;3060030;18233;ENGENHEIRO MUNIZ DE ARAGAO
9936;3061000;28143;TOLEDO BARBOSA
9937;3061010;28143;ENGENHEIRO SATURNINO DE BRITO
9938;3061020;28143;ENGENHEIRO BALEM
9939;3061030;28143;ENGENHEIRO REINALDO CAJADO
9940;3061040;28143;ENGENHEIRO ANDRADE JUNIOR
9941;3062000;7023;HERVAL
9942;3062003;7023;ALZIRA SACCHI
9943;3062005;7023;WILSON FRANCISCO DA SILVA
9944;3062010;7023;ELOI CERQUEIRA
